Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
9:40 AM,17.75,8,,,,,,,
9:45 AM,20.2,17,,1,1,,,,
9:50 AM,45.4,34,,1,1,,,,
9:55 AM,69.8,26,,,,,,,
10:00 AM,87,21,,,,,,,
10:05 AM,104.4,18,,1,1,,,,
10:10 AM,113,10,,,,,,,
10:15 AM,118,4,,1,1,,,,
10:20 AM,119.6,6,,,,,,,
10:25 AM,120.4,4,,1,1,,,,
10:30 AM,119.2,4,,,,,,,
10:35 AM,117.8,2,,,,,,,
10:40 AM,115.8,6,,,,,,,
10:45 AM,115.8,3,,,,,,,
10:50 AM,119.4,13,,,,,,,
10:55 AM,118.8,7,,,,,,1,
11:00 AM,118.2,4,,,,,,,
11:05 AM,115.2,1,,,,,,,
11:10 AM,116.2,6,,,,,,,
11:15 AM,117.8,5,,,,,,,
11:20 AM,116.6,3,,,,,,,
11:25 AM,117.8,4,,,,,,,
11:30 AM,119.4,8,,,,,,,
11:35 AM,121,3,,1,1,,,,
11:40 AM,122.2,2,,,,,,,
11:45 AM,124.4,2,,,,,,,
11:50 AM,120.8,5,,,,,,,
11:55 AM,122,6,,,,,,,
12:00 PM,124.8,7,,,,,,,
12:05 PM,126.6,6,,,,,,,
12:10 PM,126.4,4,,,,,,,
12:15 PM,124.8,2,,,,,,,
12:20 PM,125.6,4,,,,,,,
12:25 PM,122.2,2,,,,,,,
12:30 PM,120.8,7,,1,1,,,,
12:35 PM,119.2,2,,,,,,1,
12:40 PM,117.8,4,,,,,,,
12:45 PM,110.8,2,,1,1,,,,
12:50 PM,106.8,2,1,,,,,,
12:55 PM,104.6,1,,,,,,1,
1:00 PM,97,2,,,,,,1,
1:05 PM,85.4,3,,3,3,,,,